SUPPLIER_ID,SUPPLIER_NAME,ADDRESS,CONTACT,EMAIL
S01,SINGAPORE SHOPPEE,CHENNAI,9894123555,sing@gmail.com
S02,JK Stores,MUMBAI,9940123450,jks@yahoo.com
S03,ROSE BOOK STORE,TRIVANDRUM,9444411222,rose@gmail.com
S04,KAVARI STORE,DELHI,8630001452,kavi@redif.com
S05,EINSTEN BOOK GALLARY,US,9542000001,eingal@aol.com
S06,AKBAR STORE,MUMBAI,7855623100,akbakst@aol.com
S07,GUPTA STORE,CHENNAI,9899023555,rom@gmail.com
S08,D MART,MUMBAI,9940123450,dance@gmail.com
S09,BIG BAZAAR,TRIVANDRUM,9445511222,rock@gmail.com
S10,JIO MART,DELHI,8644001452,free@rediff.com
S11,GODREJ FARM,US,9542440001,champ@yahoo.com
S12,ZOMATO,MUMBAI,7855623440,money@gmail.com
